,0
volt_max_14d,3.656537096570712
vibration_rstd_14d,3.4952653869926897
rotate_range_14d,3.352621392811718
volt_range_14d,3.240840190554015
rotate_std_14d,3.234170977144479
error_per_maint_14d,2.824784551798242
error_count_14d,2.8125676263844857
rotate_mean_14d,2.647413168685429
vibration_range_14d,2.5630939995606785
vibration_mean_14d,2.296139528194677
rotate_max_14d,2.050244465386605
pressure_range_14d,1.9399058980357704
volt_rstd_14d,1.916707985170455
pressure_mean_14d,1.909931298797523
maint_count_14d,1.81199561954527
past_failures,1.7800175241460416
age_days,1.7379629470972724
volt_mean_14d,1.6895577447457153
